256|1|4|??????#?#?#?? 2,2,6
#?????????#???? 1,3,2,2
1|1|1|?#??#..#?#???#??#. 5,1,1,4
#??????#???##??#???? 2,1,3,9
??.?????.? 3,1
512|2|8|?.?.?#?##????.?.?# 1,1,3,2,1
7776|6|36|#..?????#.???#? 1,1,1,1,4
1|1|1|#?#??????#??????. 1,1,8,1,1
175177728|33|1584|??????.????#?#??. 2,1,6
?#?????.?..??.#??. 1,2,1,2,1,1
1024|4|16|??.#?.#???.#??? 1,2,1,1,4
512|2|8|###?.?#??.?#?. 4,4,2
.?...??#??? 1,1
16|1|2|????#.?.???#??#?#?. 2,2,3,5
.??.?#????????? 1,2,1,1,1
?#.????#????.????# 1,6,1,2
1875|3|15|?#???.?????### 2,1,3,4
?????#.??# 2,1,3
39366|6|54|??????.?##?#??#????? 3,1,12
.?..??.????#?? 1,1,3,1
32|2|4|#.?#?#?..?????.??.. 1,5,5,1
16384|4|32|.???#?.?#?#?? 1,1,4
???.??#??.?? 3,1
?????##?#??????????. 1,6,2,1,1
3888|3|18|..??#?????..?## 4,3
????.#??.# 1,1,1
32|2|4|????###.???#??.#. 7,5,1
419904|4|72|??#?.#??.?#?.??? 2,2,2,1,1
1|1|1|.#???#?#...###?##?# 1,4,8
2500|4|20|.?#??.???? 4,1
32|2|4|#?#?.???#????#### 1,1,4,6
1024|4|16|#?#?.?????##??#???? 1,2,8,1,1
?####?????.#??? 5,1,3
5184|4|24|??.??.???##?? 1,1,7
162|2|6|#?#??#??..#??##?? 1,6,1,3
17788815|15|495|???????????? 1,1,1,4
1875|3|15|#?????#???.???? 8,1,1,1
?????.????#?#? 1,1,2,4
32|2|4|?.##???.?#???? 5,3
1|1|1|?.??##????????. 7,4
??#?##???##?????#? 1,9,1,1
228488|8|104|?????.#.???#??.? 4,1,3,1
1944810|10|210|?????????.. 4,1
..#??#?????.# 1,2,1,1
512|2|8|???.#?.????? 2,1,1,3
32|2|4|?..?#..??#?. 2,2
32|2|4|??#????????.???#### 9,1,1,4
1|1|1|??###?#????##?. 4,7
1024|4|16|.??#??#???.#????# 3,1,1,6
32|2|4|#??#?.???#?? 4,1,1,1
16|1|2|?#?##....#?#?#?? 4,5,1
20000|2|20|?.???#?.??? 1,4
14852901|21|609|?????????.#???..?## 3,1,1,1,1,3
?#??#??#??#.??????# 7,2,2,2
????#????.??# 6,1,2
#.??.?.?????#????? 1,1,1,5,2
917504|14|224|#.?.?##????#????.?. 1,1,3,3,1,1
??.?..??..? 2,1,1
????#?????#.??? 6,1,1,2
256|1|4|#??#??##?????.#??. 5,5,1,1,1
?#?????????#??#.??? 4,1,1,1,1,1
3888|3|18|?#??????.? 6,1
556875|11|165|??..??????.#??#?? 1,3,5
1|1|1|?##??.?#?? 2,1
##???????#???? 3,3,1,1
1|1|1|?.??.??????#.##?#? 2,6,5
9604|4|28|.?????#?????.????.? 3,7,2,1
?.???????.??###????. 1,3,1,7
7776|6|36|.??#????#?? 3,2
3888|3|18|?..???..??? 1,3,1
.?#?#?#???.#.? 1,3,1,1
81|1|3|.#?.???#?#?#?#??#??? 1,14,1
1|1|1|#??.##???????# 2,7,1
#?????#.?.??.#? 2,3,1,2
162|2|6|#.???.???#.#? 1,2,2,1
1|1|1|.???##?###????. 3,6
16384|4|32|#?#????#?.#???.?. 4,3,1,1,1
32|2|4|?#??.#.#?..? 2,1,2
?#???.???.????#????# 4,2,4,2
32|2|4|?????#.?##?#?? 4,6
81|1|3|.#.?.??????? 1,4,2
32|2|4|?.??????##???.?#### 1,10,5
.?.?????????##???? 1,3,1,6
39366|6|54|???#?#??.??#..??? 6,3,2
59049|9|81|?????#?##??.??#?? 9,3
32|2|4|##????.??#???? 2,2,7
3888|3|18|?#???#???. 3,4
32|2|4|??#????..????#??#?# 1,3,1,1,7
.?????#?#?????????.# 1,6,1,2,1
512|2|8|?#..??.#?.?#???? 1,1,1,6
162|2|6|?#?.??.???????#? 2,2,9
????????.???. 5,1,1
16200000|20|600|?????????.?##? 1,3,1,3
??#?????#?????#?? 3,1,8
768|3|12|??#????.??##???#? 3,2,2,4
????????????? 7,3
162|2|6|??.????#???#????##. 1,15
32|2|4|#???##????.??? 1,7,1,1
5184|4|24|?.?.???#.##?..???#? 1,1,1,1,3,4
1024|4|16|.?#?.?#??##??#???#?? 2,8,2
512|2|8|????#???.#..??#????? 4,2,1,7
1|1|1|???..?.??#?#?##??#? 1,1,1,12
1259712|12|216|??#?.??.?????.???? 4,2,1,1,3
??.?#????#??#.?? 2,6,1
1|1|1|?#??#.?#?????.? 5,7
1|1|1|#.#??.???. 1,2,3
1|1|1|##?????#???.#????#? 6,3,2,1,2
2592|2|12|.???.##?.?..?. 2,3,1,1
16|1|2|.#?#??###?.?###.? 8,4,1
40000|4|40|??????#?#?.#?.??#?.? 8,2,3,1
1|1|1|??#?#?#?#..????#.# 6,1,1,1,1,1
50000|5|50|??#??.?#???##?#??.. 5,2,6
32|2|4|?????.????### 2,2,1,4
????#?????????.. 5,1,1
1875|3|15|?????#.??? 5,1
45927|7|63|#??#????.???#?.##?? 1,3,1,1,2,1
3358092|12|276|??.??.???###???.??? 2,1,1,5,1,1
162|2|6|#???#?##?.?? 3,4,1
162|2|6|.#????#?.??. 6,1
#????.???.#??#?#???# 1,1,1,1,1,8
??????????#?????? 5,2,7
2654208|8|192|??.?#????? 2,1,1
460992|12|168|???#?.??##?.????? 4,3,3
.?????.?.?#? 1,1,1,1
210464375|23|1265|????????#??#??#???? 1,1,9,2
243|3|9|??..?..##? 1,3
781250|2|50|.#..???#?.??#???.? 1,2,4,1,1
??.#?????#???.??? 7,1,1
243|3|9|?#???#?.?.??#????#? 2,3,4,1,2
.?#???#??????????# 2,2,2,2,1
?.?.#????????? 1,1,6
39366|6|54|.#?.??#?????? 2,4,2
32|2|4|.##.#..??.??.???###. 2,1,1,2,2,3
????????###??#?##?# 1,1,1,12
#?#????#.??.??#??? 1,3,1,1,1,2
1024|4|16|?#..???#?.???.???# 1,1,1,3,1,1
1|1|1|?###??.??#??##? 3,5
26873856|16|576|??.#?.?????????.?? 1,1,1,3,2,1
186624|9|108|?.??#??????##????#?? 3,10
1600000|10|200|?.#???#???????#??.?# 1,4,1,4,2
??..#?.???. 1,2
16|1|2|##?..??#?????#?.? 3,10
1824494|14|266|?#??#???????#?? 2,1,2,2
5184|4|24|?##????.???. 2,2
16036032|12|408|??.??#????.?????#??? 1,1,1,9
186624|9|108|?.??.?#?##???.???? 1,2,5,1,1,1
.???????????? 1,5
1024|4|16|#.??.??.???? 1,2,1,3
??...??#??????? 1,8
768|3|12|?#??#?#?#?????#??? 10,1,1,2
?#???.????? 1,2
16|1|2|????#.?##? 1,4
1024|4|16|#?..#????.?..?????## 2,1,1,1,7
2500|4|20|??????#???#??????.? 1,12,1,1
.?????.???? 1,1
32|2|4|??#??#???.??#? 4,2
124416|6|72|??#.?.?.??? 1,1
256|1|4|.???#?????#### 3,2,5
30000|3|30|????##???..?#?? 1,6,1
32|2|4|.????#??#???#?... 3,5
41472|2|24|.???#?#??..??#??? 1,3,1,1,3
